Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
Theft,1010 E. 59th St. ,4/24/13,4/24/13 10:00 AM to 12:00 PM,Wallet taken from unattended book bag left on a bench,Open,C00433,-87.60082369999999,41.7879638
Theft from Motor Vehicle,5827 S. Stony Island,4/24/13,4/24/13 3:04 PM,UCPD officers arrested a male subject upon observing him smash the window of an unoccupied car and take a computer bag,Arrest,C00434,-87.5866156,41.7879153
Assist Other Agency,6054 S. Drexel,4/24/13,4/24/13 4:52 PM,"UCPD assisted Mercer County, IL Police / Missing person located and held awaiting arrival of family members",Closed,C00435,-87.604867,41.78464
Information,54th between Greenwood & University,4/24/13,4/24/13 10:40 PM,"Two males, implying they had a weapon, took property from four victims walking on the sidewalk off campus / Suspects fled in a waiting SUV / Police took suspects into custody near 48th & Forestville / Property recovered / HW246553",Arrest / CPD Case,C00437,-87.59892360006121,41.79794570266997
Information,Ellis between 63rd & 64th,4/24/13,4/24/13 11:30 PM,"Two males, armed with a handgun, took property from a man walking on the sidewalk off campus / HW246620",CPD Case,C00436,-87.6151170610244,41.82928868327352
Theft,910 E. 58th St.  ,4/25/13,4/19/13 7:30 AM to 1200 PM,Unknown person took a balance scale from unsecured chemical lab,Open,C00438,-87.6033832,41.78993010000001
Theft,5758 S. Maryland ,4/25/13,4/24/13 to 4/25/13 3:00 PM to 8:30 AM,Personal prescription medication taken from unsecured desk drawer in secured office,Open,C00439,-87.60554789999999,41.7901233
Theft,1126 E. 59th St. ,4/25/13,4/25/13 9:00 AM to 10:30 AM,Bicycle secured to bike rack taken by an unknown person,Open,C00440,-87.6000808,41.7883749
Theft,935 E. 56th St. ,4/25/13,4/24/13 to 4/25/13 5:00 PM to 9:30 AM,Secured bicycle taken from bike rack,Open,C00441,-87.6022332,41.7931688
Criminal Damage to Property,5812 S. Ellis ,4/25/13,4/24/13 to 4/25/13 6:00 PM to 7:00 AM,Unknown person damaged entrance door card reader,Open,C00442,-87.6023235,41.7891449
Information,4444 S. Evans ,4/25/13,4/25/13 12:00 PM to 12:30 PM,Information relating to student behavior,Closed,C00443,-87.6086873,41.8140223
Assist Other Agency,5550 S. Dorchester,4/25/13,4/25/13 7:13 PM,UCPD officers detained a male suspect  who had committed an armed robbery off campus / Turned over to CPD / CPD case HW247897,Arrest     CPD Case,C00446,-87.5920237,41.7935479
Theft from Motor Vehicle,5840 S. Maryland ,4/25/13,4/25/13 11:15 AM to 8:10 PM,Four hub caps taken from vehicle parked on the 2nd floor of the parking structure,Open,C00445,-87.6049986,41.7888793
Information,Ellis between 51st & 52nd,4/25/13,4/25/13 10:15 PM,"Three males, one armed with a handgun, took property from and man and woman on the street off campus / CPD case HW247997",CPD Case,C00447,-87.60160919680595,41.801610250317516
Traffic Violation,5506 S. Lake Park,4/26/13,4/26/13 12:22 AM,UCPD officer arrested a motorist for driving with an expired driver's license,Arrest,C00448,-87.587938,41.7949182
Traffic Violation,5300 S. Greenwood,4/26/13,4/26/13 9:34 AM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00449,-87.600174,41.799161
Information,1100 E. 55th St.,4/26/13,4/26/13 9:55 AM,Personal injury traffic accident / CPD case HW248431,CPD,C00450,-87.5988812,41.7958358
Information,1301 E. 55th ,4/26/13,4/26/13 11:45 AM,Ill person transported to ER by CFD EMS,Closed,C00451,-87.5947448,41.7949235
Theft,5841 S. Maryland ,4/26/13,4/26/13 11:00 AM to 1:00 PM,Wallet taken from unattended purse left in unsecured office,Open,C00452,-87.6045656,41.7883128
Theft,1100 E. 57th St. ,4/26/13,4/16/13 to 4/23/13 5:45 PM to 9:00 AM,Unknown person took secured bicycle from bike rack,Open,C00453,-87.6001136,41.7922076
Traffic Violation,1619 E. 55th St.,4/26/13,4/26/13 6:00 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00454,-87.5858429,41.79506440000001
Traffic Violation,5700 S. Stony Island,4/26/13,4/26/13 11:25 PM,"UCPD officer arrested a motorist for driving with a suspended driver's license / Also served with an active warrant from Will County, IL",Arrest,C00455,-87.587149,41.791208
Liquor Law Violation,5714 S. Woodlawn ,4/27/13,4/27/13 2:59 AM,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00456,-87.59681669999999,41.7908719
Traffic Violation,6100 S. Stony Island,4/27/13,4/27/13 3:47 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00457,-87.58685439999999,41.7836247
Information,Greenwood between 54th & 55,4/27/13,4/27/13 8:30 PM,Three unknown males struck a man walking on the sidewalk off campus / Fled when they observed a police vehicle on patrol / CPD case HW250619,CPD Case,C00458,-87.59973880069491,41.79648045000404
Lost Property,Between 5500 S. Hyde Park & 5640 S. University,4/28/13,4/28/13 5:45 PM to 6:05 PM,Person lost wallet from jacket pocket,Closed,C00459,-87.59109079889515,41.793870520662075
Information,54th between Woodlawn & Kimbark,4/28/13,4/28/13 8:15 PM,One of three males walking on the sidewalk grabbed victim and pulled her hair / CPD case,CPD,C00460,-87.59578085897954,41.79725595267234
Criminal Damage to Property,6052 S. Ingleside ,4/29/13,4/29/13 11:00 AM to 2:55 PM,Unknown person damaged basement door of apartment building,Open,C00461,-87.60279949999999,41.7848175
Information,1362 E. 59th St. ,4/29/13,1/1/13 to 4/1/13 12:01 AM to 11:59 PM,Allegation of a criminal sexual assault / CPD investigation revealed incident baseless / CPD HW248300,CPD Case Unfounded,C00462,-87.5939404,41.78802779999999
Information,57th between Kimbark & Kenwood,4/29/13,4/29/13 10:00 AM to 7:00 PM,Unsecured bicycle taken from rear porch of private apartment building / CPD case,CPD Case,C00463,-87.5940330501519,41.79144970285433
Traffic Violation,5200 S. Woodlawn,4/29/13,4/29/13 9:23 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00464,-87.5969348,41.8007483
Traffic Violation,6200 S. Cottage Grove,4/29/13,4/29/13 9:49 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00465,-87.60632199999999,41.781509
Lost Property,1005 E. 60th St. ,4/29/13,4/28/13 to 4/29/13 7:00 PM to 7:00 PM,Report of lost wallet,Closed,C00466,-87.60017669999999,41.7854306
Traffic Violation,5326 S. Hyde Park,4/29/13,4/29/13 11:47 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00467,-87.584451,41.798721
Information,5412 S. Greenwood ,4/30/13,4/30/13 2:30 AM,Unknown person snatched satchel from the hand of a person walking in the park off campus / No force used / CPD case,CPD Case,C00468,-87.5997172,41.7975321
Theft,5839 S. Maryland ,4/30/13,4/26/13 2:30 PM to 5:00 PM,Unknown person took wallet from unattended purse left in unlocked desk in unsecured office,Open,C00469,-87.6049245,41.7887309
Deceptive Practice,6054 S. Drexel ,4/30/13,4/25/13 to 4/29/13 12:00 AM to 12:00 AM,Unknown person used victim's identity in an attempt to procure goods,Open,C00470,-87.604867,41.78464
Information,Ellis & 62nd,4/30/13,4/30/16 1:45 PM,Unknown male snatched cell phone from the hand of victim walking on the sidewalk off campus / CPD HW254301,CPD Case,C00471,-87.6011114,41.782262
Traffic Violation,5500 S. Cottage Grove,4/30/13,4/30/13 10:45 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00473,-87.605226,41.795729
Disturbance,6050 S. Ingleside ,5/1/13,4/28/13 10:30 AM to 4:30 PM,Neighbors dispute regarding pets,Closed,C00474,-87.6027998,41.7848351
Information,5500 S. Cornell,5/1/13,5/1/13 6:15 PM,Male snatched cell phone from victim's hand and fled / Arrest by CPD,Arrest CPD Case,C00475,-87.58562380000001,41.7950886
Lost Property,1020 E. 58th St. ,5/1/13,5/1/13 1:30 PM to 3:30 PM,Man believes he lost his wallet somewhere in the Main Quad area,Closed,C00476,-87.60020999999999,41.7900088
Traffic Violation,1501 E. 51st St.,5/1/13,5/1/13 7:55 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00477,-87.60641,41.80223609999999
Theft,5706 S. University ,5/2/13,4/30/13 to 5/2/13 10:30 AM to 8:10 AM,Cash box taken from secured office,Open,C00478,-87.5982633,41.7909142
Theft,5700 S. Maryland ,5/2/13,5/2/13 8:48 AM,Woman took merchandise from retail establishment without paying / Arrested by UCPD,Arrest,C00479,-87.60495069999999,41.7910678
Theft,5758 S. Maryland ,5/2/13,4/25/13 to 5/2/13 4:30 PM to 9:00 AM,iPad taken from unsecured drawer in office,Open,C00480,-87.60554789999999,41.7901233
Theft,5530 S. Ellis ,5/2/13,5/1/13 to 5/2/13 6:00 PM to 3:00 PM,Two pair of running shoes taken from unsecured lockers in women's locker room,Open,C00481,-87.6016284,41.794474
Information,5500 S. Woodlawn ,5/2/13,5/2/13 6:30 PM to 8:15 PM,Unknown person took wallet from unattended back pack left in hallway of church / CPD case,CPD,C00482,-87.5975921,41.7948242
Theft from Motor Vehicle,5840 S. Maryland ,5/3/13,5/2/13 to 5/3/13 7:00 PM to 9:00 AM,Unknown person smashed window of vehicle parked on the 3rd level / Took a transponder,Open,C00483,-87.6049986,41.7888793
Theft,950 E. 58th St. ,5/3/13,5/3/13 12:04 PM,Woman took food from cafeteria without paying / Arrest by UCPD,Arrest,C00484,-87.6021833,41.7895543
Injured Person,5550 S. University ,5/3/13,5/3/13 8:10 PM,Man tripped while playing basketball injuring his right shoulder / Transported to ER by CFD EMS,Closed,C00486,-87.598936,41.7935611
Liquor Law Violation,1414 E. 59th St. ,5/4/13,5/4/13 2:15 AM,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00487,-87.5908334,41.7882389
Information,Ellis between 63rd & 64th,5/4/13,5/4/13 1:20 AM,"Unknown male, armed with a handgun, took property from a man walking off campus / CPD case HW259507",CPD Case,C00488,-87.6151170610244,41.82928868327352
Traffic Violation,4900 S. Lake Park,5/4/13,5/4/13 12:33 PM,UCPD officer arrested a motorist for driving with an expired driver's license,Arrest,C00489,-87.58947320000001,41.8060968
Traffic Violation,5241 S. Drexel,5/4/13,5/4/13 8:22 PM,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,C00490,-87.6037044,41.7996255
Traffic Violation,1311 E. 61st St.,5/4/13,5/4/13 9:28 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00491,-87.5938233,41.7841551
Traffic Violation,1418 E. 53rd St.,5/5/13,5/5/13 12:34 AM,UCPD officer cited a motorist for driving an uninsured vehicle with  suspended license plates,Closed,C00492,-87.5911268,41.7999386
Traffic Accident,1000 E. Midway Pl.,5/5/13,5/5/13 12:41 AM,Traffic Crash Report HW260790,Closed,C00493,-88.05020209999999,41.8825698
Assist Other Agency,5333 S. University,5/5/13,5/5/13 3:38 AM,"UCPD officers detained three males  who were checking doors of cars parked on the street / Recovered 2 Garmin GPS devices, 2 cell phones, and a Sony tablet / CPD case HW260934",Arrest / CPD Case,C00494,-87.59771099999999,41.798459
Found Property,5400 S. Ingleside,5/5/13,5/5/13 3:51 PM,Man found laptop computer / Inventoried by UCPD,Closed,C00495,-87.6031514,41.797709
Information / Missing Person,6031 S. Ellis ,5/5/13,5/5/13 5:00 PM,Individual reported missing / CPD HW261756 / Individual located and safe on 5/6/13,Closed,C00496,-87.6003487,41.78502539999999
Information,5707 S. Kimbark,5/5/13,5/5/13 1:00 PM to 7:00 PM,Two bicycles left unsecured in lobby of private apartment building off campus were taken by unknown person(s),Closed,C00497,-87.5946494,41.7912523
Assist Other Agency,1019 E. 47th St.,5/5/13,5/5/13 11:49 PM,UCPD officer  detained two individuals driving a vehicle wanted by CPD in connection with a shooting that occurred off campus outside of the UCPD Patrol area / Turned over to CPD,CPD Case,C00498,-87.6006801,41.809388
Liquor Law  Violation,5318 S. Woodlawn ,5/6/13,5/6/13 12:33 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,C00499,-87.59698449999999,41.7988187
Found Property,5815 S. Maryland ,5/6/13,5/6/13 10:46 AM,Staff member found a packet of suspect narcotics / Inventoried by UCPD,Closed,C00500,-87.6041439,41.78917240000001
Traffic Violation,1518 E. 63rd St.,5/6/13,5/6/13 6:06 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00502,-87.5882743,41.7807555
Medical Call,5800 S. Greenwood ,5/6/13,5/6/13 6:35 PM,Ill person transported to hospital by CFD EMS,Closed,C00503,-87.5997452,41.7939867
Traffic Violation,5100 S. Woodlawn,5/6/13,5/6/13 9:03 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00504,-87.5971239,41.8020039
Theft,5530 S. Ellis ,5/7/13,5/6/13 2:30 PM to 3:30 PM,Wallet and keys taken from an unsecured locker,Open,C00505,-87.6016284,41.794474
Theft,1100 E. 57th St. ,5/7/13,1/1/11 to 5/1/12 2:20 PM to 3:00 PM,Maps taken from library collection,Open,C00506,-87.6001136,41.7922076
Traffic Violation,5200 S. Drexel,5/7/13,5/7/13 2:35 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00507,-87.6042345,41.8002766
Warrant Arrest,5700 S. Maryland ,5/7/13,5/7/13 11:48 PM,"Subsequent to a disturbance, UCPD officers arrested a woman wanted on a warrant from Country Club Hills, IL",Arrest,C00508,-87.60495069999999,41.7910678
Theft,5630 S. University ,5/8/13,5/7/13 7:00 PM to 11:00 PM,Cash and UC ID taken from unattended wallet left on a table in 2nd floor student lounge,Open,C00509,-87.59843049999999,41.7927938
Theft,5815 S. Maryland ,5/8/13,5/8/13 11:10 AM to 11:15 AM,Unattended iPad left on the counter in the gift shop was taken by an unknown person / Property found by owner on 5/9/13 / not stolen,Unfounded,C00510,-87.6041439,41.78917240000001
Injured Person,1020 E. 58th St. ,5/8/13,5/1/13 7:30 AM,"Woman tripped on uneven pavement fell injuring right hand, elbow, and shoulder",Closed,C00511,-87.60020999999999,41.7900088
Theft,1414 E. 59th St. ,5/8/13,5/8/13 10:00 AM to 6:20 PM,Secured bicycle taken from bike rack,Open,C00512,-87.5908334,41.7882389
Traffic Violation,5216 S. Ingleside,5/8/13,5/8/13 8:34 PM,UCPD officer arrested a motorist for driving an uninsured vehicle with expired license plates and a suspended driver's license,Arrest,C00513,-87.60318,41.800211
Damage to Property / Non-Criminal / Fire,5706 S. University ,5/8/13,5/8/13 10:30 PM,Fire reported in a dumpster outside of the building / CFD responded and extinguished fire / Plastic dumpster lid damaged / No other damage reported,Closed,C00514,-87.5982633,41.7909142
Traffic Violation,5319 S. Woodlawn,5/8/13,5/8/13 11:47 PM,UCPD officer arrested a motorist for driving a vehicle with expired license plates and a suspended driver's license,Arrest,C00515,-87.5963887,41.79883299999999
Traffic Violation,5700 S. Cottage Grove,5/9/13,5/9/13 3:42 AM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00516,-87.6061821,41.79129580000001
Traffic Violation,5120 S. Cornell,5/9/13,5/9/13 2:42 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00517,-87.58637770000001,41.8017767
Burglary,1116 E. 59th St. ,5/9/13,4/29/13 to 5/1/13  11:00 PM to 2:00 AM,Various articles of clothing taken from basement / Investigation identified two known suspects / Criminal prosecution declined / Referred,Ex. Cleared / Referred,C00518,-87.5995794,41.7879593
Theft,5445 S. Ingleside ,5/9/13,5/8/13 to 5/9/13 6:00 PM to 2:00 PM,Unknown person took secured bicycle from bike rack,Open,C00519,-87.60229249999999,41.7967734
Theft,1009 E. 57th St. ,5/9/13,5/3/13 12:00 AM to 9:00 AM,iPad taken from room,Open,C00520,-87.6005453,41.7910784
Information,5540 S. Hyde Park ,5/10/13,5/9/13 3:00 PM,Problem reported with security camera,Closed,C00521,-87.584199,41.794176
Traffic Violation,1430 E. 55th St.,5/10/13,5/10/13 12:32 PM,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,C00522,-87.5904516,41.7955206
Information,5700 S. Blackstone,5/10/13,5/7/13 6:50 PM,Information relating to a traffic accident / CPD HW264601,Closed,C00523,-87.59062,41.79132999999999
Theft,5807 S. Woodlawn ,5/10/13,5/8/13  to 5/9/13 6:00 PM to 2:15 AM,Unknown person took secured bicycle from bike rack,Open,C00524,-87.5955699,41.7889213
Lost Property,915 E. 60th St. ,5/10/13,3/23/13 to 4/23/13 4:35 PM to 4:40 PM,Abstract painting missing from classroom,Closed,C00526,-87.603927,41.7854503
Information,Blackstone between 57th & 58th,5/11/13,5/10/13 to 5/11/13 9:00 AM to 8:45 AM,Domestic situation,Closed,C00528,-87.59023039961423,41.790565750003076
Traffic Violation,5900 S. Cornell,5/11/13,5/11/13 2:06 PM,UCPD officer arrested a motorist for driving an unregistered vehicle without a valid driver's license,Arrest,C00529,-87.58522099999999,41.7862212
